sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
L_pt_a4_2,L,pt,a4,2,S06,6,S06_2,2,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_a4_3,L,pt,a4,3,S06,6,S06_3,3,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_b2_1,L,pt,b2,1,S07,7,S07_1,1,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966
L_pt_b2_2,L,pt,b2,2,S07,7,S07_2,2,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966
L_pt_e2_1,L,pt,e2,1,S08,8,S08_1,1,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e2_2,L,pt,e2,2,S08,8,S08_2,2,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e2_3,L,pt,e2,3,S08,8,S08_3,3,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e3_1,L,pt,e3,1,S09,9,S09_1,1,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e3_2,L,pt,e3,2,S09,9,S09_2,2,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e3_3,L,pt,e3,3,S09,9,S09_3,3,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e4_1,L,pt,e4,1,S10,10,S10_1,1,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
L_pt_e4_2,L,pt,e4,2,S10,10,S10_2,2,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
L_pt_e4_3,L,pt,e4,3,S10,10,S10_3,3,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
M_pl_a1_1,M,pl,a1,1,S11,11,S11_1,1,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_2,M,pl,a1,2,S11,11,S11_2,2,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_3,M,pl,a1,3,S11,11,S11_3,3,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_4,M,pl,a1,4,S11,11,S11_4,4,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_5,M,pl,a1,5,S11,11,S11_5,5,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_6,M,pl,a1,6,S11,11,S11_6,6,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_7,M,pl,a1,7,S11,11,S11_7,7,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_8,M,pl,a1,8,S11,11,S11_8,8,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
