sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n
M_pl_a1_6,M,pl,a1,6,S11,11,S11_6,6,2014.89,0.52,1955.56,0.51,1832.18,0.82
M_pl_a1_7,M,pl,a1,7,S11,11,S11_7,7,2014.89,0.52,1955.56,0.51,1832.18,0.82
M_pl_a1_8,M,pl,a1,8,S11,11,S11_8,8,2014.89,0.52,1955.56,0.51,1832.18,0.82
M_pl_a1_9,M,pl,a1,9,S11,11,S11_9,9,2014.89,0.52,1955.56,0.51,1832.18,0.82
M_pl_a2_1,M,pl,a2,1,S12,12,S12_1,1,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_2,M,pl,a2,2,S12,12,S12_2,2,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_3,M,pl,a2,3,S12,12,S12_3,3,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_4,M,pl,a2,4,S12,12,S12_4,4,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_5,M,pl,a2,5,S12,12,S12_5,5,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_6,M,pl,a2,6,S12,12,S12_6,6,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_7,M,pl,a2,7,S12,12,S12_7,7,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_8,M,pl,a2,8,S12,12,S12_8,8,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_a2_9,M,pl,a2,9,S12,12,S12_9,9,1531.47,1.22,1523.20,1.83,1395.85,5.62
M_pl_b_1,M,pl,b,1,S13,13,S13_1,1,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_2,M,pl,b,2,S13,13,S13_2,2,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_3,M,pl,b,3,S13,13,S13_3,3,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_4,M,pl,b,4,S13,13,S13_4,4,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_5,M,pl,b,5,S13,13,S13_5,5,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_6,M,pl,b,6,S13,13,S13_6,6,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_7,M,pl,b,7,S13,13,S13_7,7,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_8,M,pl,b,8,S13,13,S13_8,8,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_b_9,M,pl,b,9,S13,13,S13_9,9,2060.24,0.34,2000.82,0.42,2005.20,0.56
M_pl_c_1,M,pl,c,1,S14,14,S14_1,1,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_2,M,pl,c,2,S14,14,S14_2,2,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_3,M,pl,c,3,S14,14,S14_3,3,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_4,M,pl,c,4,S14,14,S14_4,4,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_5,M,pl,c,5,S14,14,S14_5,5,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_6,M,pl,c,6,S14,14,S14_6,6,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_7,M,pl,c,7,S14,14,S14_7,7,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_8,M,pl,c,8,S14,14,S14_8,8,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_c_9,M,pl,c,9,S14,14,S14_9,9,3058.31,0.28,2986.00,0.33,2964.30,0.44
M_pl_f_1,M,pl,f,1,S15,15,S15_1,1,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_2,M,pl,f,2,S15,15,S15_2,2,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_3,M,pl,f,3,S15,15,S15_3,3,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_4,M,pl,f,4,S15,15,S15_4,4,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_5,M,pl,f,5,S15,15,S15_5,5,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_6,M,pl,f,6,S15,15,S15_6,6,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_7,M,pl,f,7,S15,15,S15_7,7,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_8,M,pl,f,8,S15,15,S15_8,8,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pl_f_9,M,pl,f,9,S15,15,S15_9,9,2825.27,0.33,2773.25,0.40,2770.30,0.38
M_pt_a2_1,M,pt,a2,1,S16,16,S16_1,1,4472.00,0.58,4404.00,0.99,3786.60,1.94
M_pt_a2_2,M,pt,a2,2,S16,16,S16_2,2,4472.00,0.58,4404.00,0.99,3786.60,1.94
M_pt_a2_3,M,pt,a2,3,S16,16,S16_3,3,4472.00,0.58,4404.00,0.99,3786.60,1.94
M_pt_a3_1,M,pt,a3,1,S17,17,S17_1,1,4498.00,0.24,4388.00,0.59,4234.54,0.71
M_pt_a3_2,M,pt,a3,2,S17,17,S17_2,2,4498.00,0.24,4388.00,0.59,4234.54,0.71
M_pt_a3_3,M,pt,a3,3,S17,17,S17_3,3,4498.00,0.24,4388.00,0.59,4234.54,0.71
M_pt_a4_1,M,pt,a4,1,S18,18,S18_1,1,4719.00,0.79,4596.00,0.81,4609.86,0.62
M_pt_a4_2,M,pt,a4,2,S18,18,S18_2,2,4719.00,0.79,4596.00,0.81,4609.86,0.62
M_pt_a4_3,M,pt,a4,3,S18,18,S18_3,3,4719.00,0.79,4596.00,0.81,4609.86,0.62
M_pt_b2_1,M,pt,b2,1,S19,19,S19_1,1,4536.00,0.42,4411.00,0.76,4414.55,0.55
M_pt_b2_2,M,pt,b2,2,S19,19,S19_2,2,4536.00,0.42,4411.00,0.76,4414.55,0.55
M_pt_b2_3,M,pt,b2,3,S19,19,S19_3,3,4536.00,0.42,4411.00,0.76,4414.55,0.55
